Item,RefDes,Category,Manufacturer,MPN,DigiKey_PN,LCSC_PN,Qty,Unit_Price_100_USD,Primary_or_Alt,Why_This_Part,Validation_Status,DigiKey_URL,LCSC_URL
12,U203,Power monitor,Texas Instruments,INA228AIDGSR,296-INA228AIDGSR-ND,C3035827,1,2.10,Primary,85V-capable high-side telemetry; correct class for 24V-28V bus and higher transients,Keep over INA219 because bus voltage exceeds 26V,https://www.digikey.com/en/products/detail/texas-instruments/INA228AIDGSR/14635475,https://www.lcsc.com/product-detail/Current-Sensors_TI-INA228AIDGSR_C3035827.html
13,U301,USB Ethernet controller,ASIX,AX88279A,TBD-VERIFY,TBD-VERIFY,1,6.50,Primary,2.5GbE USB 3.2 bridge with strong public reference collateral,Direct sourcing may be required,https://www.digikey.com/,https://www.lcsc.com/
14,Y301,25MHz crystal,Abracon,ABM8-25.000MHZ-B2-T,535-ABM8-25.000MHZ-B2-TCT-ND,C9002,1,0.18,Primary,Reference clock for AX88279A,Confirm load capacitance with final datasheet,https://www.digikey.com/en/products/detail/abracon-llc/ABM8-25-000MHZ-B2-T/2056858,https://www.lcsc.com/product-detail/Crystals_Abracon-ABM8-25-000MHZ-B2-T_C9002.html
15,U302,USB ESD array,Texas Instruments,TPD4EUSB30DQAR,296-28571-1-ND,C126936,1,0.42,Primary,Protects USB 3 and CC sideband lines,Verify lane count against final connector pinout,https://www.digikey.com/en/products/detail/texas-instruments/TPD4EUSB30DQAR/5178404,https://www.lcsc.com/product-detail/ESD-and-Surge-Protection-TVS-ESD_TI-TPD4EUSB30DQAR_C126936.html
16,J301,Captive USB-C cable assembly,Generic,EPR-CABLE-20CM,TBD-VERIFY,TBD-VERIFY,1,4.50,Primary,Short controlled cable with e-marker support assumptions,Cable vendor qualification required,https://www.digikey.com/,https://www.lcsc.com/
17,U401,MCU,STMicroelectronics,STM32G0B1CBT6,497-STM32G0B1CBT6-ND,C5299799,1,3.10,Primary,No-radio control MCU with USB and adequate flash/RAM,Package and pin count align with rev-A scope,https://www.digikey.com/en/products/detail/stmicroelectronics/STM32G0B1CBT6/10326715,https://www.lcsc.com/product-detail/Microcontroller-Units-MCUs-MPUs-SOCs_STMicroelectronics-STM32G0B1CBT6_C5299799.html
18,"U402,U403",Temperature sensor,Texas Instruments,TMP117AIDRVR,296-TMP117AIDRVR-ND,C1854365,2,1.95,Primary,Accurate digital temperature monitoring,Place near primary and secondary hot spots,https://www.digikey.com/en/products/detail/texas-instruments/TMP117AIDRVR/10273110,https://www.lcsc.com/product-detail/Temperature-Sensors_TI-TMP117AIDRVR_C1854365.html
19,U404,OLED display,Generic,OLED-096-SSD1306-I2C,TBD-VERIFY,C96919,1,1.60,Primary,Low-cost 0.96-inch status display,Vendor and mechanical fit to be confirmed,https://www.digikey.com/,https://www.lcsc.com/product-detail/OLED-Displays-Modules_TUOZHAN-0-96-I2C-OLED_C96919.html
20,SW401-SW402,Tactile switch,CK,KMR221GLFS,401-1423-1-ND,C318884,2,0.28,Primary,Compact top-actuated UI switches,Confirm cap/plunger stack with enclosure,https://www.digikey.com/en/products/detail/c-k/KMR221GLFS/1640105,https://www.lcsc.com/product-detail/Tactile-Switches_C-K-KMR221GLFS_C318884.html
21,D401,Status LED,Kingbright,APT1608QBC-D,754-1608QBC-DTR-ND,C12624,1,0.06,Primary,Single visible indicator behind window,Color may change with industrial design,https://www.digikey.com/en/products/detail/kingbright/APT1608QBC-D/1747612,https://www.lcsc.com/product-detail/LED-Indication-Discrete_Kingbright-APT1608QBC-D_C12624.html
22,J101,RJ45 with magnetics,Bel Fuse,0826-1G1T-23-F,507-2004-ND,TBD-VERIFY,1,4.95,Primary,Shielded connector family reference for 2.5GbE PoE-capable entry,Final 2.5G-qualified magjack selection pending,https://www.digikey.com/en/products/detail/bel-fuse-inc/0826-1G1T-23-F/1567177,https://www.lcsc.com/
23,U105,Primary TVS,Semtech,RCLAMP0514M.TCT,RA1394CT-ND,C282769,1,0.33,Primary,ESD and transient protection near RJ45 domain,Exact array count depends on magjack path,https://www.digikey.com/en/products/detail/semtech-corporation/RCLAMP0514M-TCT/2128544,https://www.lcsc.com/product-detail/ESD-and-Surge-Protection-TVS-ESD_Semtech-RCLAMP0514M-TCT_C282769.html
24,U204,3.3V regulator,Monolithic Power Systems,MPM3610GQV-Z,1589-MPM3610GQV-Z-ND,C2856306,1,1.85,Primary,Efficient secondary 3.3V rail module,Alternative low-noise rail may be needed for USB/NIC,https://www.digikey.com/en/products/detail/monolithic-power-systems-inc/MPM3610GQV-Z/6774180,https://www.lcsc.com/product-detail/DC-DC-Converters_Monolithic-Power-Systems-MPM3610GQV-Z_C2856306.html
25,U205,5V regulator,Texas Instruments,LMR33630ADDAR,296-LMR33630ADDAR-ND,C2763645,1,1.20,Primary,Secondary 5V housekeeping rail from isolated bus,Confirm current budget including OLED and auxiliaries,https://www.digikey.com/en/products/detail/texas-instruments/LMR33630ADDAR/10273205,https://www.lcsc.com/product-detail/DC-DC-Converters_TI-LMR33630ADDAR_C2763645.html
26,CSET1,Decoupling capacitors 100nF 0402,Murata,GRM155R71H104KE14D,490-GRM155R71H104KE14DCT-ND,C1525,24,0.01,Primary,Common local decoupling across digital ICs,Count placeholder pending schematic completion,https://www.digikey.com/en/products/detail/murata-electronics/GRM155R71H104KE14D/4905592,https://www.lcsc.com/product-detail/Ceramic-Capacitors_Murata-GRM155R71H104KE14D_C1525.html
27,CSET2,Bulk ceramic 10uF 25V 0805,Murata,GRM21BR61E106KA73L,490-GRM21BR61E106KA73LCT-ND,C15850,12,0.07,Primary,Distributed bus and regulator bulk capacitance,Voltage rating may need uplift on some rails,https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR61E106KA73L/4905310,https://www.lcsc.com/product-detail/Ceramic-Capacitors_Murata-GRM21BR61E106KA73L_C15850.html
28,RSET1,Precision sense resistors,Vishay,WSL0603R0100FEA,541-WSL0603R0100FEACT-ND,C25804,4,0.12,Primary,Current sense and telemetry resistor family reference,Value/package per channel to be finalized,https://www.digikey.com/en/products/detail/vishay-dale/WSL0603R0100FEA/1005119,https://www.lcsc.com/product-detail/Current-Sense-Resistors-Shunt-Resistors_Vishay-WSL0603R0100FEA_C25804.html
29,RSET2,General resistors 1% 0402,Yageo,RC0402FR-0710KL,311-10.0KLRCT-ND,C25744,60,0.004,Primary,Pullups dividers LED resistors and configuration networks,Placeholder family for common values,https://www.digikey.com/en/products/detail/yageo/RC0402FR-0710KL/726418,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Yageo-RC0402FR-0710KL_C25744.html
30,LSET1,Common-mode choke USB/RJ45,TDK,ACT45B-510-2P-TL003,445-174403-1-ND,C9174,2,0.24,Alt,EMI mitigation family reference,Final placement and impedance to be validated,https://www.digikey.com/en/products/detail/tdk-corporation/ACT45B-510-2P-TL003/1786408,https://www.lcsc.com/product-detail/Common-Mode-Filters_TDK-ACT45B-510-2P-TL003_C9174.html
